Date,Description,Amount
2026-02-01,KFC,-100
2026-02-02,Uber Ride,-80
2026-02-03,Electricity Bill,-120
2026-02-04,Amazon Purchase,-150
2026-02-05,Salary,1000
2026-02-06,Bus Fare,-50
2026-02-07,Pizza Hut,-120
2026-02-08,Water Bill,-60
2026-02-09,Daraz Order,-130
2026-02-10,Movie Ticket,-90
2026-02-11,Gave treat to friend,-140
2026-02-12,kayak boat fishing,-200
2026-02-13,random food thing,-110
2026-02-14,trip ride somewhere,-90
2026-02-15,paid monthly stuff,-180
2026-02-16,bought things online,-160
2026-02-17,doctor visit check,-200
2026-02-18,medicine stuff,-100
2026-02-19,Salary,1000
2026-02-20,dinner outside,-150
2026-02-21,amazon random buy,-170
2026-02-22,small bus ride,-50
2026-02-23,went cinema with friends,-100
2026-02-24,paid electricity again,-140
2026-02-25,water usage payment,-70
2026-02-26,uber late night,-90
2026-02-27,fast food snack,-120
2026-02-28,youtube subscription,-60
2026-03-01,shopping spree,-180
2026-03-02,Salary,1000
2026-03-03,ride with friend,-100
2026-03-04,pizza delivery,-120
2026-03-05,gas monthly bill,-140
2026-03-06,ordered stuff online,-160
2026-03-07,hospital checkup,-220
2026-03-08,bought medicine,-100
2026-03-09,travel bus fare,-60
2026-03-10,movie night fun,-110
2026-03-11,lunch outside,-130
2026-03-12,electric bill,-150
2026-03-13,water bill,-70
2026-03-14,uber quick trip,-90
2026-03-15,food with friends,-120
2026-03-16,netflix chill,-80
2026-03-17,Salary,1500